consensus_start	consensus_stop	note	note
230525	230544	20 bp;mummer_exact	mummer_exact
232140	232175	36 bp;mummer_exact	mummer_exact
234129	234167	39 bp;mummer_exact	mummer_exact
236247	236266	20 bp;mummer_exact	mummer_exact
237530	237603	74 bp;mummer_exact	mummer_exact
242210	242230	21 bp;mummer_repeat	ID=to_be_set;note=repeated+at+3684159..3684179+%28100%+in+21+bp%29;colour=1
244245	244300	56 bp;mummer_exact	mummer_exact
245509	245528	20 bp;mummer_exact	mummer_exact
249854	249879	26 bp;mummer_exact	mummer_exact
250873	250892	20 bp;mummer_exact	mummer_exact
251933	251957	25 bp;mummer_exact	mummer_exact
256059	256078	20 bp;mummer_exact	mummer_exact
270909	271486	578 bp;mummer_exact	mummer_exact
271516	271643	128 bp;mummer_exact	mummer_exact
272239	272258	20 bp;mummer_exact	mummer_exact
274207	274229	23 bp;mummer_exact	mummer_exact
274765	274787	23 bp;mummer_repeat	ID=to_be_set;note=repeated+at+3064092..3064070+%28100%+in+23+bp%29;colour=1
277593	277617	25 bp;mummer_exact	mummer_exact
279978	280174	197 bp;mummer_exact	mummer_exact
280194	280258	65 bp;mummer_exact	mummer_exact
280320	280691	372 bp;mummer_exact	mummer_exact
287174	289069	1896 bp;mummer_exact	mummer_exact
289253	292596	3344 bp;mummer_exact	mummer_exact
292653	292730	78 bp;mummer_repeat	ID=to_be_set;note=repeated+at+302092..302168+%28100%+in+77+bp%29;colour=2
302092	302168	77 bp;mummer_repeat	ID=to_be_set;note=repeated+at+3552678..3552602+%28100%+in+77+bp%29;colour=2
302780	302800	21 bp;mummer_repeat	ID=to_be_set;note=repeated+at+4578239..4578259+%28100%+in+21+bp%29;colour=1
303981	304000	20 bp;mummer_exact	mummer_exact
310576	310596	21 bp;mummer_repeat	ID=to_be_set;note=repeated+at+1147641..1147621+%28100%+in+21+bp%29;colour=1
322117	322136	20 bp;mummer_exact	mummer_exact
323384	323403	20 bp;mummer_exact	mummer_exact
325088	325231	144 bp;mummer_exact	mummer_exact
326038	326166	129 bp;mummer_exact	mummer_exact
326202	326263	62 bp;mummer_exact	mummer_exact
327058	327230	173 bp;mummer_exact	mummer_exact
336153	336172	20 bp;mummer_exact	mummer_exact
336234	336257	24 bp;mummer_exact	mummer_exact
336345	336365	21 bp;mummer_exact	mummer_exact
339882	339901	20 bp;mummer_exact	mummer_exact
339963	339986	24 bp;mummer_exact	mummer_exact
340074	340094	21 bp;mummer_exact	mummer_exact
340130	340245	116 bp;mummer_exact	mummer_exact
340263	340324	62 bp;mummer_exact	mummer_exact
349824	349982	159 bp;mummer_exact	mummer_exact
350000	350061	62 bp;mummer_exact	mummer_exact
359097	359118	22 bp;mummer_exact	mummer_exact
359165	359197	33 bp;mummer_exact	mummer_exact
360819	360969	151 bp;mummer_exact	mummer_exact
365278	365317	40 bp;mummer_exact	mummer_exact
372972	372991	20 bp;mummer_exact	mummer_exact
374491	374510	20 bp;mummer_exact	mummer_exact
374918	374937	20 bp;mummer_exact	mummer_exact
378102	378125	24 bp;mummer_exact	mummer_exact
378810	378833	24 bp;mummer_repeat	ID=to_be_set;note=repeated+at+378833..378810+%28100%+in+24+bp%29;colour=1
402823	402843	21 bp;mummer_exact	mummer_exact
407621	407641	21 bp;mummer_repeat	ID=to_be_set;note=repeated+at+2741414..2741394+%28100%+in+21+bp%29;colour=1
408297	408322	26 bp;mummer_exact	mummer_exact
408709	408728	20 bp;mummer_exact	mummer_exact
410453	410472	20 bp;mummer_exact	mummer_exact
428915	428937	23 bp;mummer_exact	mummer_exact
428957	428979	23 bp;mummer_exact	mummer_exact
431343	431362	20 bp;mummer_exact	mummer_exact
436384	436403	20 bp;mummer_exact	mummer_exact
446097	446675	579 bp;mummer_exact	mummer_exact
446691	446835	145 bp;mummer_exact	mummer_exact
450409	450428	20 bp;mummer_exact	mummer_exact
452871	452900	30 bp;mummer_exact	mummer_exact
459384	459415	32 bp;mummer_exact	mummer_exact
463438	463460	23 bp;mummer_repeat	ID=to_be_set;note=repeated+at+2907121..2907099+%28100%+in+23+bp%29;colour=1
463982	464001	20 bp;mummer_exact	mummer_exact
465708	465744	37 bp;mummer_exact	mummer_exact
478390	478430	41 bp;mummer_exact	mummer_exact
482342	482361	20 bp;mummer_exact	mummer_exact
491791	491811	21 bp;mummer_repeat	ID=to_be_set;note=repeated+at+704990..705010+%28100%+in+21+bp%29;colour=1
502732	502752	21 bp;mummer_repeat	ID=to_be_set;note=repeated+at+3316112..3316092+%28100%+in+21+bp%29;colour=1
507232	507795	564 bp;mummer_exact	mummer_exact
507825	507952	128 bp;mummer_exact	mummer_exact
510901	510920	20 bp;mummer_exact	mummer_exact
515049	515113	65 bp;mummer_exact	mummer_exact
517639	517662	24 bp;mummer_exact	mummer_exact
522581	522612	32 bp;mummer_exact	mummer_exact
522797	522822	26 bp;mummer_exact	mummer_exact
522962	522981	20 bp;mummer_exact	mummer_exact
523706	523725	20 bp;mummer_exact	mummer_exact
523910	523929	20 bp;mummer_exact	mummer_exact
523952	523974	23 bp;mummer_exact	mummer_exact
524939	524960	22 bp;mummer_exact	mummer_exact
525020	525057	38 bp;mummer_exact	mummer_exact
532449	532469	21 bp;mummer_repeat	ID=to_be_set;note=repeated+at+3064033..3064053+%28100%+in+21+bp%29;colour=1
534949	534968	20 bp;mummer_exact	mummer_exact
537124	537145	22 bp;mummer_repeat	ID=to_be_set;note=repeated+at+4169205..4169226+%28100%+in+22+bp%29;colour=1
537996	538015	20 bp;mummer_exact	mummer_exact
538706	538931	226 bp;mummer_exact	mummer_exact
539756	539788	33 bp;mummer_exact	mummer_exact
539806	539829	24 bp;mummer_exact	mummer_exact
548370	548394	25 bp;mummer_exact	mummer_exact
550958	551163	206 bp;mummer_exact	mummer_exact
557169	557192	24 bp;mummer_exact	mummer_exact
565431	565450	20 bp;mummer_exact	mummer_exact
580780	580802	23 bp;mummer_exact	mummer_exact
587188	587207	20 bp;mummer_exact	mummer_exact
595217	595237	21 bp;mummer_repeat	ID=to_be_set;note=repeated+at+4425948..4425968+%28100%+in+21+bp%29;colour=1
605549	605591	43 bp;mummer_exact	mummer_exact
606284	606319	36 bp;mummer_exact	mummer_exact
606354	606430	77 bp;mummer_exact	mummer_exact
609503	609543	41 bp;mummer_exact	mummer_exact
609571	609599	29 bp;mummer_exact	mummer_exact
609629	609687	59 bp;mummer_exact	mummer_exact
609950	609992	43 bp;mummer_repeat	ID=to_be_set;note=repeated+at+2492808..2492829+%28100%+in+22+bp%29;colour=1
616343	616363	21 bp;mummer_repeat	ID=to_be_set;note=repeated+at+175802..175782+%28100%+in+21+bp%29;colour=1
625182	625202	21 bp;mummer_repeat	ID=to_be_set;note=repeated+at+1084567..1084587+%28100%+in+21+bp%29;colour=1
627620	627639	20 bp;mummer_exact	mummer_exact
628568	628589	22 bp;mummer_repeat	ID=to_be_set;note=repeated+at+4565798..4565777+%28100%+in+22+bp%29;colour=1
635553	635573	21 bp;mummer_repeat	ID=to_be_set;note=repeated+at+1269278..1269258+%28100%+in+21+bp%29;colour=1
640222	640242	21 bp;mummer_exact	mummer_exact
640308	640330	23 bp;mummer_exact	mummer_exact
645683	645740	58 bp;mummer_exact	mummer_exact
645779	645802	24 bp;mummer_exact	mummer_exact
646874	646894	21 bp;mummer_exact	mummer_exact
655182	655203	22 bp;mummer_repeat	ID=to_be_set;note=repeated+at+4573180..4573159+%28100%+in+22+bp%29;colour=1
657094	657656	563 bp;mummer_exact	mummer_exact
657686	657818	133 bp;mummer_exact	mummer_exact
662749	662770	22 bp;mummer_repeat	ID=to_be_set;note=repeated+at+2032532..2032511+%28100%+in+22+bp%29;colour=1
663334	663355	22 bp;mummer_repeat	ID=to_be_set;note=repeated+at+1357116..1357137+%28100%+in+22+bp%29;colour=1
666037	666093	57 bp;mummer_exact	mummer_exact
668622	668647	26 bp;mummer_exact	mummer_exact
669245	669265	21 bp;mummer_exact	mummer_exact
684745	684767	23 bp;mummer_repeat	ID=to_be_set;note=repeated+at+684784..684806+%28100%+in+23+bp%29;colour=1
684784	684806	23 bp;mummer_repeat	ID=to_be_set;note=repeated+at+684745..684767+%28100%+in+23+bp%29;colour=1
687299	687320	22 bp;mummer_exact	mummer_exact
691271	691291	21 bp;mummer_repeat	ID=to_be_set;note=repeated+at+4657582..4657602+%28100%+in+21+bp%29;colour=1
703583	703608	26 bp;mummer_exact	mummer_exact
703765	703784	20 bp;mummer_exact	mummer_exact
703889	703908	20 bp;mummer_exact	mummer_exact
704990	705010	21 bp;mummer_repeat	ID=to_be_set;note=repeated+at+491791..491811+%28100%+in+21+bp%29;colour=1
706814	706848	35 bp;mummer_exact	mummer_exact
706876	706900	25 bp;mummer_exact	mummer_exact
709426	709490	65 bp;mummer_exact	mummer_exact
711193	711212	20 bp;mummer_exact	mummer_exact
714021	714056	36 bp;mummer_exact	mummer_exact
714153	714182	30 bp;mummer_exact	mummer_exact
714227	714298	72 bp;mummer_repeat	ID=to_be_set;note=repeated+at+1625034..1625013+%28100%+in+22+bp%29;colour=1
714319	714395	77 bp;mummer_exact	mummer_exact
714429	714504	76 bp;mummer_exact	mummer_exact
714620	714691	72 bp;mummer_repeat	ID=to_be_set;note=repeated+at+1625034..1625013+%28100%+in+22+bp%29;colour=1
714884	714905	22 bp;mummer_repeat	ID=to_be_set;note=repeated+at+714905..714884+%28100%+in+22+bp%29;colour=1
716390	716411	22 bp;mummer_repeat	ID=to_be_set;note=repeated+at+1507466..1507445+%28100%+in+22+bp%29;colour=1
716800	716822	23 bp;mummer_exact	mummer_exact
717151	717170	20 bp;mummer_exact	mummer_exact
737435	737487	53 bp;mummer_exact	mummer_exact
740677	740716	40 bp;mummer_exact	mummer_exact
743578	743634	57 bp;mummer_exact	mummer_exact
764489	764516	28 bp;mummer_exact	mummer_exact
769527	769548	22 bp;mummer_exact	mummer_exact
774095	774115	21 bp;mummer_repeat	ID=to_be_set;note=repeated+at+2696630..2696650+%28100%+in+21+bp%29;colour=1
776032	776079	48 bp;mummer_repeat	ID=to_be_set;note=repeated+at+130416..130396+%28100%+in+21+bp%29;colour=1
776189	776210	22 bp;mummer_exact	mummer_exact
776409	776431	23 bp;mummer_exact	mummer_exact
778808	778827	20 bp;mummer_exact	mummer_exact
780572	780642	71 bp;mummer_exact	mummer_exact
786158	786181	24 bp;mummer_exact	mummer_exact
787230	787296	67 bp;mummer_exact	mummer_exact
789803	790115	313 bp;mummer_exact	mummer_exact
790267	790286	20 bp;mummer_exact	mummer_exact
793516	793537	22 bp;mummer_repeat	ID=to_be_set;note=repeated+at+609961..609982+%28100%+in+22+bp%29;colour=1
793577	793648	72 bp;mummer_exact	mummer_exact
793734	793755	22 bp;mummer_exact	mummer_exact
793812	793867	56 bp;mummer_exact	mummer_exact
793944	793965	22 bp;mummer_exact	mummer_exact
794023	794085	63 bp;mummer_exact	mummer_exact
798105	798139	35 bp;mummer_exact	mummer_exact
800497	800516	20 bp;mummer_exact	mummer_exact
800874	800929	56 bp;mummer_exact	mummer_exact
801890	801909	20 bp;mummer_exact	mummer_exact
835928	835947	20 bp;mummer_exact	mummer_exact
844541	844610	70 bp;mummer_exact	mummer_exact
844756	844776	21 bp;mummer_exact	mummer_exact
849171	849190	20 bp;mummer_exact	mummer_exact
850825	850850	26 bp;mummer_exact	mummer_exact
851415	851434	20 bp;mummer_exact	mummer_exact
854355	854374	20 bp;mummer_exact	mummer_exact
861992	862011	20 bp;mummer_exact	mummer_exact
863251	863271	21 bp;mummer_repeat	ID=to_be_set;note=repeated+at+1273153..1273133+%28100%+in+21+bp%29;colour=1
863890	864451	562 bp;mummer_exact	mummer_exact
864481	864608	128 bp;mummer_exact	mummer_exact
870081	870100	20 bp;mummer_exact	mummer_exact
871153	871180	28 bp;mummer_repeat	ID=to_be_set;note=repeated+at+4135762..4135789+%28100%+in+28+bp%29;colour=1
873626	873648	23 bp;mummer_exact	mummer_exact
880926	880950	25 bp;mummer_exact	mummer_exact
893156	893175	20 bp;mummer_exact	mummer_exact
895138	895157	20 bp;mummer_exact	mummer_exact
904436	904470	35 bp;mummer_repeat	ID=to_be_set;note=repeated+at+4296400..4296426+%28100%+in+27+bp%29;colour=1
912253	912275	23 bp;mummer_exact	mummer_exact
913265	913285	21 bp;mummer_exact	mummer_exact
915747	915772	26 bp;mummer_exact	mummer_exact
917226	917258	33 bp;mummer_exact	mummer_exact
920849	920868	20 bp;mummer_exact	mummer_exact
923635	923666	32 bp;mummer_exact	mummer_exact
931863	931882	20 bp;mummer_exact	mummer_exact
931923	931942	20 bp;mummer_exact	mummer_exact
937834	938068	235 bp;mummer_exact	mummer_exact
943066	943085	20 bp;mummer_exact	mummer_exact
950069	950355	287 bp;mummer_exact	mummer_exact
951616	951635	20 bp;mummer_exact	mummer_exact
953811	953831	21 bp;mummer_repeat	ID=to_be_set;note=repeated+at+1878901..1878921+%28100%+in+21+bp%29;colour=1
956140	956165	26 bp;mummer_exact	mummer_exact
957343	957367	25 bp;mummer_exact	mummer_exact
958261	958419	159 bp;mummer_exact	mummer_exact
958439	958575	137 bp;mummer_exact	mummer_exact
958595	958698	104 bp;mummer_exact	mummer_exact
958727	958937	211 bp;mummer_exact	mummer_exact
959114	959146	33 bp;mummer_exact	mummer_exact
965966	965987	22 bp;mummer_exact	mummer_exact
966337	966359	23 bp;mummer_exact	mummer_exact
966583	966602	20 bp;mummer_exact	mummer_exact
975044	975063	20 bp;mummer_exact	mummer_exact
990057	990076	20 bp;mummer_exact	mummer_exact
990825	990844	20 bp;mummer_exact	mummer_exact
1000406	1000435	30 bp;mummer_exact	mummer_exact
1001031	1001052	22 bp;mummer_exact	mummer_exact
1008747	1051266	42.5kb phage ST10	
1051285	1051306	22 bp;mummer_exact	mummer_exact
1052531	1052551	21 bp;mummer_repeat	ID=to_be_set;note=repeated+at+1789143..1789163+%28100%+in+21+bp%29;colour=1
1052574	1052598	25 bp;mummer_exact	mummer_exact
1061156	1061175	20 bp;mummer_exact	mummer_exact
1073969	1073989	21 bp;mummer_repeat	ID=to_be_set;note=repeated+at+1710286..1710266+%28100%+in+21+bp%29;colour=1
1076112	1076131	20 bp;mummer_exact	mummer_exact
1080701	1080720	20 bp;mummer_exact	mummer_exact
1081975	1082535	561 bp;mummer_exact	mummer_exact
1082565	1082693	129 bp;mummer_exact	mummer_exact
1084567	1084587	21 bp;mummer_repeat	ID=to_be_set;note=repeated+at+625182..625202+%28100%+in+21+bp%29;colour=1
1085183	1085747	565 bp;mummer_exact	mummer_exact
1085777	1085904	128 bp;mummer_exact	mummer_exact
1088055	1088097	43 bp;mummer_exact	mummer_exact
1088116	1088176	61 bp;mummer_exact	mummer_exact
1095321	1095522	202 bp;mummer_exact	mummer_exact
1112491	1112510	20 bp;mummer_exact	mummer_exact
1116309	1116328	20 bp;mummer_exact	mummer_exact
1134241	1135106	866 bp;mummer_exact	mummer_exact
1147621	1147641	21 bp;mummer_repeat	ID=to_be_set;note=repeated+at+310596..310576+%28100%+in+21+bp%29;colour=1
1149601	1149620	20 bp;mummer_exact	mummer_exact
1153514	1153533	20 bp;mummer_exact	mummer_exact
1166978	1166997	20 bp;mummer_exact	mummer_exact
1178439	1179004	566 bp;mummer_exact	mummer_exact
1179020	1179161	142 bp;mummer_exact	mummer_exact
1184115	1184149	35 bp;mummer_exact	mummer_exact
1197154	1197173	20 bp;mummer_exact	mummer_exact
1203629	1203648	20 bp;mummer_exact	mummer_exact
1207394	1207421	28 bp;mummer_repeat	ID=to_be_set;note=repeated+at+1207421..1207394+%28100%+in+28+bp%29;colour=1
1213860	1213879	20 bp;mummer_exact	mummer_exact
1214158	1214177	20 bp;mummer_exact	mummer_exact
1217095	1217118	24 bp;mummer_exact	mummer_exact
1222185	1222204	20 bp;mummer_exact	mummer_exact
1235148	1235726	579 bp;mummer_exact	mummer_exact
1235756	1235883	128 bp;mummer_exact	mummer_exact
1242785	1242805	21 bp;mummer_repeat	ID=to_be_set;note=repeated+at+1843079..1843099+%28100%+in+21+bp%29;colour=1
1243193	1243212	20 bp;mummer_exact	mummer_exact
1243397	1243416	20 bp;mummer_exact	mummer_exact
1244261	1244292	32 bp;mummer_exact	mummer_exact
1244657	1244679	23 bp;mummer_exact	mummer_exact
1244837	1244895	59 bp;mummer_exact	mummer_exact
1245194	1245213	20 bp;mummer_exact	mummer_exact
1246443	1246503	61 bp;mummer_exact	mummer_exact
1246669	1246688	20 bp;mummer_exact	mummer_exact
1246754	1246776	23 bp;mummer_exact	mummer_exact
1246869	1246888	20 bp;mummer_exact	mummer_exact
1247093	1247124	32 bp;mummer_exact	mummer_exact
1247205	1247225	21 bp;mummer_repeat	ID=to_be_set;note=repeated+at+2223097..2223077+%28100%+in+21+bp%29;colour=1
1247345	1247373	29 bp;mummer_exact	mummer_exact
1247558	1247577	20 bp;mummer_exact	mummer_exact
1247672	1247694	23 bp;mummer_exact	mummer_exact
1247893	1247916	24 bp;mummer_exact	mummer_exact
1248331	1248374	44 bp;mummer_exact	mummer_exact
1248427	1248452	26 bp;mummer_exact	mummer_exact
1248808	1248842	35 bp;mummer_exact	mummer_exact
1248868	1248887	20 bp;mummer_exact	mummer_exact
1252615	1252689	75 bp;mummer_exact	mummer_exact
1252798	1252855	58 bp;mummer_exact	mummer_exact
1252894	1252955	62 bp;mummer_exact	mummer_exact
1253029	1253052	24 bp;mummer_exact	mummer_exact
1253075	1253095	21 bp;mummer_exact	mummer_exact
1253116	1253137	22 bp;mummer_exact	mummer_exact
1257215	1257236	22 bp;mummer_exact	mummer_exact
1258832	1258873	42 bp;mummer_exact	mummer_exact
1258889	1258961	73 bp;mummer_exact	mummer_exact
1259845	1259866	22 bp;mummer_repeat	ID=to_be_set;note=repeated+at+1259866..1259845+%28100%+in+22+bp%29;colour=1
1269258	1269304	47 bp;mummer_exact	mummer_exact
1273133	1273153	21 bp;mummer_repeat	ID=to_be_set;note=repeated+at+863271..863251+%28100%+in+21+bp%29;colour=1
1289948	1289967	20 bp;mummer_exact	mummer_exact
1290050	1290069	20 bp;mummer_exact	mummer_exact
1292276	1292298	23 bp;mummer_exact	mummer_exact
1295984	1296101	118 bp;mummer_exact	mummer_exact
1296151	1296172	22 bp;mummer_exact	mummer_exact
1301486	1301506	21 bp;mummer_repeat	ID=to_be_set;note=repeated+at+4808665..4808645+%28100%+in+21+bp%29;colour=1
1304208	1304229	22 bp;mummer_repeat	ID=to_be_set;note=repeated+at+1580807..1580786+%28100%+in+22+bp%29;colour=1
1313776	1313796	21 bp;mummer_exact	mummer_exact
1320043	1320067	25 bp;mummer_exact	mummer_exact
1320095	1320123	29 bp;mummer_exact	mummer_exact
1320997	1321019	23 bp;mummer_exact	mummer_exact
1321081	1321104	24 bp;mummer_exact	mummer_exact
1323134	1323155	22 bp;mummer_exact	mummer_exact
1323291	1323311	21 bp;mummer_exact	mummer_exact
1326526	1326545	20 bp;mummer_exact	mummer_exact
1327374	1328042	669 bp;camila	ID=to_be_set;note=phage shock protein A
1328102	1328685	584 bp;camila	ID=to_be_set;note=phage shock protein C
1328708	1328926	219 bp;camila	ID=to_be_set;note=phage shock protein D
1329002	1329316	315 bp;camila	ID=to_be_set;note=phage shock protein E precursor
1332100	1332120	21 bp;mummer_repeat	ID=to_be_set;note=repeated+at+2697693..2697713+%28100%+in+21+bp%29;colour=1
1333609	1333808	200 bp;mummer_exact	mummer_exact
1333828	1333892	65 bp;mummer_exact	mummer_exact
1333954	1334329	376 bp;mummer_exact	mummer_exact
1357116	1357137	22 bp;mummer_repeat	ID=to_be_set;note=repeated+at+663334..663355+%28100%+in+22+bp%29;colour=1
1365779	1365896	118 bp;mummer_exact	mummer_exact
1367266	1367831	566 bp;mummer_exact	mummer_exact
1367847	1367994	148 bp;mummer_exact	mummer_exact
1369814	1369833	20 bp;mummer_exact	mummer_exact
1378842	1378863	22 bp;mummer_repeat	ID=to_be_set;note=repeated+at+222925..222946+%28100%+in+22+bp%29;colour=1
1381974	1381993	20 bp;mummer_exact	mummer_exact
1399730	1399749	20 bp;mummer_exact	mummer_exact
1414727	1414793	67 bp;mummer_exact	mummer_exact
1417907	1417941	35 bp;mummer_exact	mummer_exact
1422750	1422770	21 bp;mummer_repeat	ID=to_be_set;note=repeated+at+2529772..2529792+%28100%+in+21+bp%29;colour=1
1440064	1440083	20 bp;mummer_exact	mummer_exact
1440109	1440143	35 bp;mummer_exact	mummer_exact
1440499	1440524	26 bp;mummer_exact	mummer_exact
1440577	1440620	44 bp;mummer_exact	mummer_exact
1441035	1441058	24 bp;mummer_exact	mummer_exact
1441257	1441279	23 bp;mummer_exact	mummer_exact
1441374	1441393	20 bp;mummer_exact	mummer_exact
1441578	1441606	29 bp;mummer_exact	mummer_exact
1441827	1441858	32 bp;mummer_exact	mummer_exact
1442063	1442082	20 bp;mummer_exact	mummer_exact
1442175	1442197	23 bp;mummer_exact	mummer_exact
1442448	1442508	61 bp;mummer_exact	mummer_exact
1443732	1443751	20 bp;mummer_exact	mummer_exact
1444053	1444111	59 bp;mummer_exact	mummer_exact
1444269	1444291	23 bp;mummer_exact	mummer_exact
1444644	1444675	32 bp;mummer_exact	mummer_exact
1445224	1445243	20 bp;mummer_exact	mummer_exact
1445425	1445444	20 bp;mummer_exact	mummer_exact
1449294	1449313	20 bp;mummer_exact	mummer_exact
1449708	1449739	32 bp;mummer_exact	mummer_exact
1449828	1449860	33 bp;mummer_exact	mummer_exact
1450050	1450069	20 bp;mummer_exact	mummer_exact
1450236	1450255	20 bp;mummer_exact	mummer_exact
1451689	1451708	20 bp;mummer_exact	mummer_exact
1473528	1473547	20 bp;mummer_exact	mummer_exact
1474259	1474278	20 bp;mummer_exact	mummer_exact
1476141	1476160	20 bp;mummer_exact	mummer_exact
1480887	1480912	26 bp;mummer_exact	mummer_exact
1481302	1481322	21 bp;mummer_exact	mummer_exact
1485960	1485981	22 bp;mummer_exact	mummer_exact
1500280	1500299	20 bp;mummer_exact	mummer_exact
1507259	1507281	23 bp;mummer_exact	mummer_exact
1507445	1507466	22 bp;mummer_repeat	ID=to_be_set;note=repeated+at+716411..716390+%28100%+in+22+bp%29;colour=1
1514760	1514788	29 bp;mummer_repeat	ID=to_be_set;note=repeated+at+1517297..1517325+%28100%+in+29+bp%29;colour=1
1515683	1515708	26 bp;mummer_exact	mummer_exact
1516868	1516892	25 bp;mummer_exact	mummer_exact
1517297	1517325	29 bp;mummer_repeat	ID=to_be_set;note=repeated+at+1514760..1514788+%28100%+in+29+bp%29;colour=1
1517798	1517956	159 bp;mummer_exact	mummer_exact
1517976	1518112	137 bp;mummer_exact	mummer_exact
1518132	1518235	104 bp;mummer_exact	mummer_exact
1518264	1518474	211 bp;mummer_exact	mummer_exact
1518648	1518680	33 bp;mummer_exact	mummer_exact
1529537	1529733	197 bp;mummer_exact	mummer_exact
1529753	1529817	65 bp;mummer_exact	mummer_exact
1529879	1530250	372 bp;mummer_exact	mummer_exact
1534153	1534260	108 bp;mummer_exact	mummer_exact
1536718	1536737	20 bp;mummer_exact	mummer_exact
1538899	1572919	34kb phage ST15	
1576494	1576516	23 bp;mummer_exact	mummer_exact
1576614	1576633	20 bp;mummer_exact	mummer_exact
1576650	1576669	20 bp;mummer_exact	mummer_exact
1577364	1577389	26 bp;mummer_exact	mummer_exact
1580786	1580807	22 bp;mummer_repeat	ID=to_be_set;note=repeated+at+1304229..1304208+%28100%+in+22+bp%29;colour=1
1583237	1583262	26 bp;mummer_exact	mummer_exact
1583345	1583425	81 bp;mummer_exact	mummer_exact
1583493	1583514	22 bp;mummer_exact	mummer_exact
1583562	1583596	35 bp;mummer_exact	mummer_exact
1584522	1584547	26 bp;mummer_exact	mummer_exact
1584591	1584613	23 bp;mummer_exact	mummer_exact
1595023	1595198	176 bp;mummer_exact	mummer_exact
1595215	1595240	26 bp;mummer_exact	mummer_exact
1595304	1595324	21 bp;mummer_exact	mummer_exact
1595898	1595917	20 bp;mummer_exact	mummer_exact
1599967	1599988	22 bp;mummer_repeat	ID=to_be_set;note=repeated+at+4077611..4077590+%28100%+in+22+bp%29;colour=1
1616076	1616097	22 bp;mummer_repeat	ID=to_be_set;note=repeated+at+4122330..4122309+%28100%+in+22+bp%29;colour=1
1624927	1624969	43 bp;mummer_exact	mummer_exact
1625013	1625056	44 bp;mummer_exact	mummer_exact
